date,open,close,high,low,volume
2017-10-10 14:00,5.21,5.21,5.22,5.19,39126.0
2017-10-10 15:00,5.21,5.22,5.24,5.2,43021.0
2017-10-11 10:30,5.21,5.24,5.25,5.19,50705.0
2017-10-11 11:30,5.24,5.36,5.42,5.24,216188.0
2017-10-11 14:00,5.36,5.31,5.37,5.3,50191.0
2017-10-11 15:00,5.31,5.3,5.32,5.29,46002.0
2017-10-12 10:30,5.28,5.24,5.29,5.23,71097.0
2017-10-12 11:30,5.24,5.24,5.25,5.21,44601.0
2017-10-12 14:00,5.24,5.22,5.25,5.21,26818.0
2017-10-12 15:00,5.22,5.24,5.25,5.21,29281.0
2017-10-13 10:30,5.23,5.22,5.24,5.21,27189.0
2017-10-13 11:30,5.22,5.32,5.33,5.22,70714.0
2017-10-13 14:00,5.32,5.41,5.42,5.3,241710.0
2017-10-13 15:00,5.41,5.53,5.57,5.4,347426.0
2017-10-16 10:30,5.47,5.42,5.51,5.41,156934.0
2017-10-16 11:30,5.41,5.36,5.43,5.35,125349.0
2017-10-16 14:00,5.36,5.46,5.53,5.35,161760.0
2017-10-16 15:00,5.46,5.51,5.57,5.44,224925.0
2017-10-17 10:30,5.42,5.52,5.53,5.42,126726.0
2017-10-17 11:30,5.52,5.56,5.59,5.52,154836.0
2017-10-17 14:00,5.56,5.58,5.68,5.53,192981.0
2017-10-17 15:00,5.58,5.57,5.6,5.53,177198.0
2017-10-18 10:30,5.54,5.5,5.6,5.49,136496.0
2017-10-18 11:30,5.5,5.49,5.53,5.47,89358.0
2017-10-18 14:00,5.49,5.46,5.5,5.45,101263.0
2017-10-18 15:00,5.46,5.52,5.54,5.42,171278.0
2017-10-19 10:30,5.49,5.44,5.52,5.43,105487.0
2017-10-19 11:30,5.44,5.51,5.54,5.43,58649.0
2017-10-19 14:00,5.51,5.58,5.64,5.49,225215.0
2017-10-19 15:00,5.58,5.57,5.6,5.52,206352.0
2017-10-20 10:30,5.5,5.5,5.53,5.47,97850.0
2017-10-20 11:30,5.5,5.41,5.5,5.38,143254.0
2017-10-20 14:00,5.41,5.4,5.48,5.37,104171.0
2017-10-20 15:00,5.4,5.34,5.41,5.34,199893.0
2017-10-23 10:30,5.29,5.07,5.29,5.02,331380.0
2017-10-23 11:30,5.07,5.08,5.09,5.05,127495.0
2017-10-23 14:00,5.08,5.04,5.08,5.04,116471.0
2017-10-23 15:00,5.04,5.07,5.1,5.04,100743.0
2017-10-24 10:30,5.05,5.06,5.09,5.0,91613.0
2017-10-24 11:30,5.06,5.05,5.07,5.04,29234.0
2017-10-24 14:00,5.06,5.03,5.07,5.03,31904.0
2017-10-24 15:00,5.03,5.07,5.08,5.02,51634.0
2017-10-25 10:30,5.06,5.07,5.08,5.05,36789.0
2017-10-25 11:30,5.07,5.07,5.08,5.05,24789.0
2017-10-25 14:00,5.07,5.05,5.07,5.03,30110.0
2017-10-25 15:00,5.05,5.07,5.07,5.04,36358.0
2017-10-26 10:30,5.08,5.2,5.21,5.07,191490.0
2017-10-26 11:30,5.2,5.18,5.23,5.17,85110.0
2017-10-26 14:00,5.18,5.18,5.2,5.17,40794.0
2017-10-26 15:00,5.18,5.15,5.19,5.15,44951.0
2017-10-27 10:30,5.11,5.1,5.13,5.08,72263.0
2017-10-27 11:30,5.1,5.11,5.12,5.07,36087.0
2017-10-27 14:00,5.11,5.12,5.13,5.09,18867.0
2017-10-27 15:00,5.12,5.13,5.14,5.1,44330.0
2017-10-30 10:30,5.13,5.01,5.17,4.95,124435.0
2017-10-30 11:30,5.02,5.05,5.06,5.0,23033.0
2017-10-30 14:00,5.05,5.01,5.06,4.99,36257.0
2017-10-30 15:00,5.02,4.95,5.02,4.92,74309.0
2017-10-31 10:30,4.92,4.95,5.0,4.9,44780.0
2017-10-31 11:30,4.95,4.96,4.97,4.94,17845.0
2017-10-31 14:00,4.95,4.95,4.96,4.93,22644.0
2017-10-31 15:00,4.95,4.99,5.0,4.92,42124.0
2017-11-01 10:30,4.98,4.94,4.99,4.91,60249.0
2017-11-01 11:30,4.94,4.86,4.95,4.83,101083.0
2017-11-01 14:00,4.86,4.89,4.9,4.85,27961.0
2017-11-01 15:00,4.89,4.88,4.91,4.87,27536.0
2017-11-02 10:30,4.87,4.76,4.87,4.75,73783.0
2017-11-02 11:30,4.76,4.78,4.79,4.75,36110.0
2017-11-02 14:00,4.78,4.76,4.78,4.75,23744.0
2017-11-02 15:00,4.76,4.73,4.76,4.72,60133.0
2017-11-03 10:30,4.73,4.77,4.78,4.73,35496.0
2017-11-03 11:30,4.76,4.72,4.77,4.72,19879.0
2017-11-03 14:00,4.72,4.72,4.73,4.7,24859.0
2017-11-03 15:00,4.72,4.76,4.76,4.71,29080.0
2017-11-06 10:30,4.75,4.75,4.78,4.72,20618.0
2017-11-06 11:30,4.75,4.76,4.76,4.74,14948.0
2017-11-06 14:00,4.76,4.78,4.78,4.75,22436.0
2017-11-06 15:00,4.78,4.79,4.8,4.77,28980.0
2017-11-07 10:30,4.78,4.87,4.9,4.77,67923.0
2017-11-07 11:30,4.87,4.86,4.88,4.85,15050.0
2017-11-07 14:00,4.86,4.85,4.86,4.84,11477.0
2017-11-07 15:00,4.85,4.86,4.88,4.84,22236.0
2017-11-08 10:30,4.84,4.86,4.87,4.82,29253.0
2017-11-08 11:30,4.86,4.86,4.86,4.83,20800.0
2017-11-08 14:00,4.86,4.86,4.87,4.85,11659.0
2017-11-08 15:00,4.86,4.85,4.87,4.84,20230.0
2017-11-09 10:30,4.85,4.88,4.95,4.85,26115.0
2017-11-09 11:30,4.88,4.88,4.89,4.85,14071.0
2017-11-09 14:00,4.88,4.85,4.88,4.84,14482.0
2017-11-09 15:00,4.85,4.85,4.87,4.84,21889.0
2017-11-10 10:30,4.85,4.8,4.86,4.78,31652.0
2017-11-10 11:30,4.8,4.91,4.91,4.79,47549.0
