date,open,close,high,low,volume,code
2015-08-19,7.583,8.049,8.188,7.206,569844.0,600300
2015-08-20,7.88,7.741,8.247,7.732,468504.0,600300
2015-08-21,7.632,7.087,7.761,7.038,427444.0,600300
2015-08-24,6.602,6.383,6.859,6.383,337016.0,600300
2015-08-25,5.749,5.749,6.017,5.749,367568.0,600300
2015-08-26,5.719,5.174,5.987,5.174,557209.0,600300
2015-08-27,5.353,5.432,5.62,4.907,438903.0,600300
2015-08-28,5.551,5.898,5.908,5.412,495687.0,600300
2015-08-31,5.888,5.62,5.888,5.501,355486.0,600300
2015-09-01,5.551,5.125,5.561,5.105,307550.0,600300
2015-09-02,4.877,5.353,5.442,4.758,632902.0,600300
2015-09-07,5.353,5.392,5.62,5.353,359434.0,600300
2015-09-08,5.343,5.66,5.68,5.263,273778.0,600300
2015-09-09,5.719,5.878,5.928,5.64,456914.0,600300
2015-09-10,5.769,5.64,5.819,5.61,297067.0,600300
2015-09-11,5.709,5.739,5.769,5.571,238938.0,600300
2015-09-14,5.759,5.174,5.799,5.164,334803.0,600300
2015-09-15,5.105,4.758,5.184,4.679,271998.0,600300
2015-09-16,4.827,5.224,5.234,4.758,326413.0,600300
2015-09-17,5.164,5.026,5.402,5.006,332242.0,600300
2015-09-18,5.055,5.125,5.174,5.016,200649.0,600300
2015-09-21,5.075,5.333,5.382,5.026,256276.0,600300
2015-09-22,5.353,5.501,5.571,5.313,365587.0,600300
2015-09-23,5.382,5.293,5.481,5.234,289283.0,600300
2015-09-24,5.313,5.452,5.491,5.273,273476.0,600300
2015-09-25,5.432,5.194,5.442,5.115,231057.0,600300
2015-09-28,5.234,5.561,5.581,5.105,364678.0,600300
2015-09-29,5.402,5.452,5.719,5.402,447109.0,600300
2015-09-30,5.501,5.402,5.501,5.293,231595.0,600300
2015-10-08,5.591,5.591,5.719,5.481,399875.0,600300
2015-10-09,5.571,5.67,5.719,5.541,306335.0,600300
2015-10-12,5.729,6.037,6.096,5.66,490507.0,600300
2015-10-13,5.947,6.066,6.146,5.898,378210.0,600300
2015-10-14,6.027,6.175,6.324,5.957,477485.0,600300
2015-10-15,6.106,6.334,6.354,6.046,444909.0,600300
2015-10-16,6.344,6.334,6.393,6.136,495157.0,600300
2015-10-19,6.294,6.255,6.443,6.146,425652.0,600300
2015-10-20,6.225,6.354,6.364,6.146,425374.0,600300
2015-10-21,6.344,5.719,6.403,5.719,562684.0,600300
2015-10-22,5.739,5.937,5.997,5.66,327251.0,600300
2015-10-23,5.937,6.205,6.274,5.908,418583.0,600300
2015-10-26,6.274,6.265,6.344,6.146,387221.0,600300
2015-10-27,6.225,6.265,6.284,5.898,412886.0,600300
2015-10-28,6.205,6.106,6.423,6.066,402342.0,600300
2015-10-29,6.215,6.383,6.493,6.096,575788.0,600300
2015-10-30,6.641,7.018,7.018,6.502,865333.0,600300
2015-11-02,6.939,6.77,7.504,6.651,1287624.0,600300
2015-11-03,6.839,6.502,6.909,6.393,583177.0,600300
2015-11-04,6.473,6.721,6.78,6.473,592387.0,600300
2015-11-05,6.691,6.79,6.879,6.562,682323.0,600300
2015-11-06,6.73,6.849,6.879,6.701,591407.0,600300
2015-11-09,6.79,6.8,6.859,6.621,540459.0,600300
2015-11-10,6.691,6.859,6.919,6.681,503494.0,600300
2015-11-11,6.869,7.018,7.058,6.77,556224.0,600300
2015-11-12,7.008,6.82,7.018,6.73,449284.0,600300
2015-11-13,6.651,6.542,6.73,6.443,404409.0,600300
2015-11-16,6.403,6.74,6.75,6.364,292713.0,600300
2015-11-17,6.75,6.691,6.879,6.631,343710.0,600300
2015-11-18,6.671,6.641,6.889,6.611,262472.0,600300
2015-11-19,6.701,6.78,6.81,6.621,241090.0,600300
2015-11-20,6.77,6.83,6.849,6.74,316864.0,600300
2015-11-23,6.83,6.889,7.028,6.78,439435.0,600300
2015-11-24,6.839,6.879,6.909,6.651,233000.0,600300
2015-11-25,6.869,6.919,6.929,6.78,324344.0,600300
2015-11-26,6.958,6.869,7.107,6.82,429779.0,600300
2015-11-27,6.82,6.235,6.82,6.195,434657.0,600300
2015-11-30,6.255,6.156,6.294,5.759,300930.0,600300
2015-12-01,6.136,6.205,6.255,6.037,193198.0,600300
2015-12-02,6.205,6.304,6.324,6.046,184859.0,600300
2015-12-03,6.364,6.413,6.502,6.284,203465.0,600300
2015-12-04,6.354,6.284,6.393,6.245,170681.0,600300
2015-12-07,6.304,6.423,6.433,6.284,169213.0,600300
2015-12-08,6.383,6.165,6.383,6.146,154050.0,600300
2015-12-09,6.195,6.146,6.314,6.096,115855.0,600300
2015-12-10,6.136,6.076,6.225,6.046,124491.0,600300
2015-12-11,6.076,6.037,6.076,5.928,165955.0,600300
2015-12-14,5.947,6.185,6.225,5.937,137183.0,600300
2015-12-15,6.165,6.463,6.602,6.156,295643.0,600300
2015-12-16,6.522,6.354,6.582,6.334,308294.0,600300
2015-12-17,6.344,6.453,6.483,6.334,276938.0,600300
2015-12-18,6.473,6.463,6.512,6.383,198346.0,600300
2015-12-21,6.423,6.74,6.78,6.393,415828.0,600300
2015-12-22,6.721,6.671,6.721,6.582,271072.0,600300
2015-12-23,6.681,6.681,6.8,6.641,306160.0,600300
2015-12-24,6.631,6.602,6.711,6.443,215173.0,600300
2015-12-25,6.582,6.77,6.859,6.552,264916.0,600300
2015-12-28,6.839,6.76,7.325,6.74,644515.0,600300
2015-12-29,6.681,7.067,7.137,6.552,486518.0,600300
2015-12-30,7.038,7.018,7.157,6.919,346685.0,600300
2015-12-31,7.028,7.107,7.295,6.939,453460.0,600300
2016-01-04,7.097,6.493,7.276,6.403,323493.0,600300
2016-01-05,5.997,6.641,6.721,5.967,395013.0,600300
2016-01-06,6.602,6.958,6.978,6.602,353445.0,600300
2016-01-07,6.81,6.265,6.83,6.265,120320.0,600300
2016-01-08,6.443,6.304,6.562,5.848,329034.0,600300
2016-01-11,6.046,5.68,6.215,5.67,398288.0,600300
2016-01-12,5.709,5.62,5.809,5.402,218066.0,600300
2016-01-13,5.709,5.491,5.809,5.462,155049.0,600300
2016-01-14,5.254,5.66,5.7,5.174,142238.0,600300
2016-01-15,5.61,5.313,5.69,5.184,177456.0,600300
2016-01-18,5.065,5.254,5.402,5.065,180592.0,600300
2016-01-19,5.254,5.491,5.551,5.174,183123.0,600300
2016-01-20,5.372,5.412,5.511,5.303,185219.0,600300
2016-01-21,5.303,5.085,5.452,5.065,152459.0,600300
2016-01-22,5.135,5.154,5.244,5.026,129005.0,600300
2016-01-25,5.204,5.224,5.313,5.184,90900.0,600300
2016-01-26,5.154,4.817,5.244,4.738,156252.0,600300
2016-01-27,4.847,4.738,4.907,4.421,197313.0,600300
2016-01-28,4.649,4.47,4.748,4.461,123586.0,600300
2016-01-29,4.52,4.669,4.728,4.461,122824.0,600300
2016-02-01,4.649,4.57,4.718,4.54,78350.0,600300
2016-02-02,4.56,4.728,4.768,4.56,113432.0,600300
2016-02-03,4.659,4.728,4.758,4.619,78310.0,600300
2016-02-04,4.778,4.827,4.867,4.738,111295.0,600300
2016-02-05,4.837,4.817,4.877,4.788,81536.0,600300
2016-02-15,4.51,4.718,4.807,4.51,72573.0,600300
2016-02-16,4.798,4.916,4.956,4.758,105488.0,600300
2016-02-17,4.916,5.016,5.026,4.867,123820.0,600300
2016-02-18,5.016,4.986,5.135,4.976,108227.0,600300
2016-02-19,4.966,4.996,5.016,4.936,79109.0,600300
2016-02-22,5.026,5.154,5.194,5.026,166429.0,600300
2016-02-23,5.154,5.135,5.184,5.026,105352.0,600300
2016-02-24,5.075,5.144,5.154,5.006,100418.0,600300
2016-02-25,5.115,4.629,5.125,4.629,186019.0,600300
2016-02-26,4.669,4.669,4.748,4.52,152432.0,600300
2016-02-29,4.669,4.411,4.698,4.272,152238.0,600300
2016-03-01,4.421,4.52,4.579,4.371,109879.0,600300
2016-03-02,4.54,4.817,4.907,4.52,179907.0,600300
2016-03-03,4.887,4.837,5.006,4.768,200209.0,600300
2016-03-04,4.778,4.649,4.857,4.54,205616.0,600300
2016-03-07,4.689,4.768,4.788,4.659,131666.0,600300
2016-03-08,4.738,4.738,4.758,4.57,139185.0,600300
2016-03-09,4.639,4.609,4.669,4.57,82278.0,600300
2016-03-10,4.629,4.56,4.679,4.54,96761.0,600300
2016-03-11,4.5,4.56,4.599,4.49,71222.0,600300
2016-03-14,4.599,4.698,4.748,4.599,127226.0,600300
2016-03-15,4.689,4.649,4.708,4.599,85844.0,600300
2016-03-16,4.659,4.599,4.689,4.589,108614.0,600300
2016-03-17,4.629,4.738,4.788,4.609,147327.0,600300
2016-03-18,4.768,4.926,4.946,4.738,229750.0,600300
2016-03-21,5.016,5.026,5.075,4.907,223348.0,600300
2016-03-22,4.996,5.085,5.164,4.946,231653.0,600300
2016-03-23,5.045,5.095,5.154,4.966,226988.0,600300
2016-03-24,5.045,4.996,5.085,4.976,135995.0,600300
2016-03-25,4.966,5.075,5.085,4.966,110611.0,600300
2016-03-28,5.075,5.224,5.422,5.045,285994.0,600300
2016-03-29,5.204,5.075,5.224,5.016,161887.0,600300
2016-03-30,5.095,5.234,5.283,5.095,139696.0,600300
2016-03-31,5.254,5.234,5.353,5.194,159625.0,600300
2016-04-01,5.234,5.392,5.472,5.085,228143.0,600300
2016-04-05,5.343,5.462,5.491,5.303,277494.0,600300
2016-04-06,5.442,5.432,5.472,5.353,173358.0,600300
2016-04-07,5.422,5.313,5.432,5.303,152171.0,600300
2016-04-08,5.263,5.214,5.283,5.135,162945.0,600300
2016-04-11,5.254,5.323,5.382,5.234,164318.0,600300
2016-04-12,5.283,5.442,5.452,5.204,341044.0,600300
2016-04-13,5.402,5.551,5.62,5.402,316135.0,600300
2016-04-14,5.551,5.62,5.69,5.541,201286.0,600300
2016-04-15,5.61,5.571,5.64,5.511,152165.0,600300
2016-04-18,5.511,5.68,5.729,5.442,208977.0,600300
2016-04-19,5.65,5.67,5.789,5.571,151900.0,600300
2016-04-20,5.66,5.313,5.729,5.164,273849.0,600300
